yearend,entityid,entityname,bundleguid,filename,lastmodified,assets,currentassets,longtermassets,liabilitiesequity,liabilities,currentliabilities,longtermliabilities,equity,revenue,cogs,operatingexpenses,nonoperatingincome,netincome,ebiit,ebit,ebitda,grossmargin,entityguid,yearenddate,product,modified,source
2016,1,qs-test-028,wdDoHL_RRSCMgie7vkGQsA,vince mar 1 537pm,3/13/2023 20:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 21:09,CloudEngagements
2016,1,qs-test-028,hAGkLSGYRPiL_wjto76VJw,vince mar 1 725pm,3/13/2023 20:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 22:11,CloudEngagements
2016,2,"test""",lsQpbLrqTTSfR1Vb-Nc_ng,vince mar 8 150pm,3/13/2023 20:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 20:59,CloudEngagements
2021,1,qs-test-028,8dbd933b-6587-4437-bcc5-16d919fb3078,vince mar 3 integrated.ac,3/3/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,fBJU-gvKRvWrjBFKwgsR-Q,qs-test-028,3/3/2023 18:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/3/2023 19:14,CloudEngagements
2016,1,qs-test-028,q_O3VhgqTlax-IaEr6sSdA,vince mar 1 209pm,3/13/2023 20:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/13/2023 21:26,CloudEngagements
2016,1,qs-test-028,DijvcQ9vQ1Kv_PZSQJ5AwA,vince mar 1 358pm,3/4/2023 0:50,10108361,10108361,0,20346,0,0,0,20346,20346,0,0,0,20346,20346,20346,20346,20346,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/4/2023 2:06,CloudEngagements
2021,1,qs-test-028,d098d44f-8f22-436c-8ea5-304737b88329,vince integrated mar 7 934am.ac,3/7/2023,333.33,333.33,333.33,333.33,333.33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2021,1,qs-test-028,aabcbb91-f538-48f2-b7cb-dedf1ab83dbe,vince integrated file mar 1.ac,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
2016,1,qs-test-028,ib9v_1-fS76qQcc17ZrAOw,vince mar 10 1132am,3/10/2023 16:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/10/2023 17:31,CloudEngagements
2017,1,qs-test-028,A0xquxdoT9O5s7NRw-UNDA,vince mar 10 1218pm,3/10/2023 17:18,11.11,22.22,33.33,44.44,55.55,66.66,77.77,88.88,99.99,111.11,222.22,333.33,444.44,555.55,666.66,777.77,888.88,LwpXYETSTdy0Gr4jP_uRXg,12/31/2017,com.caseware.ca.review.us.2016,3/10/2023 17:21,CloudEngagements
2016,1,qs-test-028,ig-zzzXsSJqu5RO3OaDv8g,vince mar 6 505pm,3/6/2023 22:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LwpXYETSTdy0Gr4jP_uRXg,12/31/2016,com.caseware.ca.review.us.2016,3/7/2023 0:41,CloudEngagements
2021,1,qs-test-028,03f03fe1-fa94-4724-98d3-a8f35199c1f9,vince integrate mar 6 356pm.ac,3/6/2023,0,0,0,11110,0,0,0,11110,0,0,0,0,0,0,0,0,0,,,,,WorkingPapers
