"yearend","entityid","entityname","bundleguid","filename","lastmodified","cwguid","Entity","Parent Name","Type","Consolidation File Name","Contribution to Parent Entity - Current Year (%)","Contribution to Parent Entity - Prior Year 1 (%)","Contribution to Parent Entity - Prior Year 2 (%)","Contribution to Parent Entity - Prior Year 3 (%)","Contribution to Parent Entity - Prior Year 4 (%)","Contribution to Parent Entity - Budget (%)","Contribution to Parent Entity - Forecast Balance (%)","Consolidation File Location","Extended Description","Type of Consolidation","Consolidation Abbreviated File Name","Include Prior Year Balances","Include Budget Balances","Exclude Zero Balance Accounts","Apply Foreign Exchange","Include Forecast Balance","Enable Account Synchronization","Include Custom Balances","Unmap new external accounts"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","IaBbXGSDUE5JzR9JGk-MeE","Parent","","M","PARENT","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","","","PARENT","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","HzxVDtDE0N8H8jY7-FrGGt","Parent","PARENT","M","CHILD1","100","100","100","100","100","100","100","","","External","CHILD1","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","NNPxEs1ZUS5HWTnrv6nGKf","Child","CHILD1","C","CHILD2","100","100","100","100","100","100","100","","","External","CHILD2","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","O+YNDh9hkSoLXbO7-7Tou-","Parent","","M","Parent","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","","","PARENT","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","I+Xrl4fx0JSO33Bn-NN3+g","Parent","Parent","M","Parent2","100","100","100","100","100","100","100","","","External","PARENT2","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","DYW4X9XokSnJ0P0Ujuap+I","Child","Parent2","C","Child1","100","100","100","100","100","100","100","","","External","CHILD1","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","E-7wR-JuUi2AtyOvLbHZSs","Child","Parent2","C","Child2","100","100","100","100","100","100","100","","","External","CHILD2","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","EQlajj2nkdWK-J7Rv1xJaw","Parent","Parent","M","Parent3","100","100","100","100","100","100","100","","","External","PARENT3","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2018","6","Underscore_Entity","781b8a7c-dc25-46ff-8d82-5fc15f8cb9e8","Accounts_matchConsolidatedEntity.ac","2020-02-22","B8IpnMxdUE-C5mYQGGSamP","Child","Parent3","C","Child","100","100","100","100","100","100","100","","","External","CHILD","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"2017","7","ForwardSlash","b52c1fb9-c147-4779-8e41-d721bb00816d","Accounts_balancesWithDecmials.ac","2020-09-11","DSq8IKv-0BHKgJ6zCDzEOY","Parent","","M","PARENT","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","","","PARENT","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
