"yearend","entityid","entityname","bundleguid","filename","lastmodified","CW GUID","Identifier","Control Name","Control Descriptions","Entities","IT System Affected","Date Identified","Evaluate Environment","Financial Statement Areas","Assertions","Business Cycles Affected","Control Design","Design Implemented","Evaluation Results","Key Control","Maturity Level","Indirect Control","Manual/Automated","Frequency of Control","Test Control","Testing Controls","Control is Effective","Associated Risks","Associated Reportable Items"
"2019","2","Vince_entity","60756c94-8429-4b1d-ae11-8823a3d7870c","Audit control Feb 5.ac","2021-02-05","DFX4jw5L6s5MJumwu9drCM","AU-1","audit control feb5","control des","""{""""DMXldnFh093OCAU4KBOB2R"""":1}""","""[""""2576""""]""","2021-02-05","405.|Gb+l+8K-UCkNQvUv6HLYar","Receivables, non-current,Investments,Intangible assets and goodwill,Inventories","Completeness,Accuracy / ValuationPresentation,Existence","FR|INS|INV|PAY|PPP|RRR","Satisfactory","Yes","Unsatisfactory","Yes","3","No","Manual","Daily","PY2 (Tested)","SAMP|ENZWL6JFU0HG3JFtkvYLuN","No","",""
"2020","2","Vince_entity","fbff02cf-feed-4705-ae4f-8bc3ca3e1da7","Peg control 2.ac","2021-02-02","I3mFiS6y64yDS248IoV4mF","AU-1","Peg control 2","Peg control 2 description","""{""""GpW+7VZQ0IaINLHNs2o5K9"""":1}""","""[""""80525""""]""","2021-02-02","6. 3|LQHdnIFhkU7MNPxdwgY3WN","Cost of sales,Revenues,Equity,Long-term debt","Completeness,Accuracy / ValuationPresentation,Existence","RRR","Unsatisfactory","Yes","","No","3","Yes","Manual","Monthly","PY1 (Tested)","405|H5RvXOtNETGBa0NtxHr-qy","Not Tested","",""
"2019","2","Vince_entity","75e7fe9f-a5a1-4096-b475-868fd2c3fa20","Audit SYS 2.ac","2021-02-03","PA+pGbCOvE4G42xBRBCZCN","AU-3","New control name","","","","2021-02-03","","","","","","","","","","","","","","","","Audit sys2",""
"2019","2","Vince_entity","75e7fe9f-a5a1-4096-b475-868fd2c3fa20","Audit SYS 2.ac","2021-02-03","K95UrnoLK44DUSQldcVrKA","AU-2","New control name","","","","2021-02-03","","Property, plant and equipment, plant and equipment - depreciation and impairment, plant and equipment - cost,Investment property","Completeness,Valuation,Existence,Accuracy","PPP","","","","","2","Yes","Manual","","","","","",""
"2019","2","Vince_entity","75e7fe9f-a5a1-4096-b475-868fd2c3fa20","Audit SYS 2.ac","2021-02-03","EhTafTXQ5c6MKsy6-7HWWG","AU-1","sys contorl1","control 1","","""[""""114195""""]""","2021-02-03","CTRLM.|LCaq78J1UySIFese1joym-","Cash","Completeness","REV","Unsatisfactory","Yes","Satisfactory","No","2","No","Automated","Monthly","No","NCHKLST|IoavFccN0ODGFDN1nJ+mS8","Not Tested","New risk name",""
"2019","2","Vince_entity","07bf76bf-4bc0-42d1-b70d-43e5a71a2e27","audit sys feb 5.ac","2021-02-05","LRe8F4BmBA8ARs3e1pt92P","AU-1","aduit sys 2","new sysn des","","""[""""114195""""]""","2021-02-05","CTRLM.|LCaq78J1UySIFese1joym-","Production supplies,Other,Other inventories for sale,Derivative financial instruments","Existence,Valuation,Completeness,Accuracy","FR|PAY|PPP|REC|REV|RRR","Satisfactory","No","Unsatisfactory","No","2","Yes","Automated","Weekly","PY2 (Tested)","PMSD|O17kRZoBElCOblHsQbEz+y","No","",""
"2020","2","Vince_entity","1a748578-d318-4e29-b6c7-ac6a13a8e074","Peg Audit RIsk 3.ac","2021-02-03","L98AB4g6C4yCeE3dzRaXeF","AU-1","control 123","control description","","""[""""80525""""]""","2021-02-02","ONEFORM|H5QAfkrbUeyPQnCZej8hyR","Investments,Intangibles and goodwill,Cash,Bank indebtedness","Completeness,Accuracy / ValuationPresentation,Existence","RRR","Satisfactory","No","Unsatisfactory","No","1","Yes","Manual","Daily","Yes","ONEFORM|H5QAfkrbUeyPQnCZej8hyR","No","",""
"2020","2","Vince_entity","7f294613-b92f-4774-bc29-2f9ee56edd00","Audit US control 2.ac","2021-02-03","ItknDmzkbc+CIHhquwfxaC","AU-1","Audit US control 2","audit control 2 description","""{""""Mr0Wei6WkPpAGqVT0YtDSC"""":1}""","""[""""2576""""]""","2021-02-02","FSA|Ln00gWFCUitJR9kBNQ1pGA","Income taxes,Other liabilities,Long term debt,Loans and advances payable,Accounts payable and accrued liabilities","Completeness,Valuation,Existence,Accuracy,Presentation and Disclosure","PPP|FR","Unsatisfactory","Yes","Satisfactory","No","3","Yes","Automated","Quarterly","PY2 (Tested)","A.100|LN7+u9Kk0beB+hDt0Lnj+e","Not Tested","",""
"2020","2","Vince_entity","27820423-36ed-41a4-b0f1-b707fae09cbe","Peg control 4.ac","2021-02-03","JAue-OU3iA3EwZfZTdOzGC","AU-1","peg control4","peg desc","","""[""""80525""""]""","2021-02-03","501CR|BM6puhR3Um2AnVMIEfuiWP","","","PPPNFP","Satisfactory","Yes","Unsatisfactory","No","3","No","Automated","Weekly","Yes","610|C5wQ2u1RkqjKhqnK17B26R","No","",""
"2020","2","Vince_entity","ae348f02-17df-4ada-b8af-9455a2b343d1","Audit US Risk.ac","2021-01-28","CFooEDolXY3I6aa4ty7QiM","null-1","audit US control 1","audit us control 1 description","","","2021-01-27","400-A|NaItEMZokRzDC35PSgdxGx","Accounts receivable,Short term investments,Loans and advances receivable,Inventories,Cash and cash equivalents","Completeness,Valuation,Existence,Accuracy,Presentation and Disclosure","PPP|RRR|INS|INV","Satisfactory","No","Satisfactory","Yes","","Yes","Manual","Permanent","Yes","ONEFORM|Jweh+LhOEMNDHJufODl02J","Yes","",""
