"yearend","entityid","entityname","bundleguid","filename","lastmodified","cwguid","clp code","field name","field value"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Ijt5Ur2zq0zKythUrQ2A6A","CLP2","Operating Name","ABC BEE Company"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","DIHyq8PpAkwPT8WEtrpKKO","CLP3","Address",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","CGUdULUiAAzKpI2anoRMyF","CLP4","Address 2 (blank)",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","DFQmACtTWQ3BRznJ1mP+eM","CLP5","City",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","BK+VAfnTD0zKmWnpCwYOKA","CLP6","Prov/State",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","PUNHKvxlmA1F+DoXi+d52C","CLP7","Postal/Zip Code",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","NbQGepbwA47OuhFmhlgdiH","CLP13","Year End Date","43769"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","CQTM8aL89swGl9216fFaeA","CLP14","Contact 1 - Email Address",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","BnpWW3xNOAyG83xMRcxfGA","CLP15","Contact 1 - Title",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","EeMKhC9Z2YxB16C-tcQSyP","CLP16","Home Page",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","PvapsqGSuA6BNeJPUkxceE","CLP17","Current Period Date Sequence","Y"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","FfNkYT0r1o4BED+InjQiuL","CLP18","Contact 1 - Bus Phone #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","LKcYmcpR449OU1aIZjnkKF","CLP19","Contact 1 - Bus Fax #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","AZTPVYq3tU-Na4IStW+7yH","CLP20","Contact 1 - First Name",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","JKqoXg3CKY9D5LJgWW81qH","CLP21","Contact 1 - Last Name",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","BzZIlSKSmk8MHNgzDrCx+P","CLP22","Current Active Period","1"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","B66QzhOdD4-DGCgO5vskuM","CLP23","S.I.C.","1112"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","N1pVJEC7jQ1Lc7UXvqAXWH","CLP24","A.I.C.",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","LJeGLQOsOo9NusmykzxEeM","CLP25","Contact 1 - Designation",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","EFrDFja12c7KczoMwMuRuO","CLP28","Tax Jurisdiction","CAN"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Dv60eQlLrs4OTZA+QwMJSD","CLP29","Contact 1 - Position",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","FLBz3dm63A0C47atDTIJiP","CLP62","Year Begin Date","43405"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","N6076iTc-U-OWDqnXVDtCH","CLP96","Tax Vendor","0"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","A0fwojkV181JL++HftDzOP","CLP97","Tax Entity",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Ahf5tjgCvk3HvZykfR0d2O","CLP98","Contact 2 - Title",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","EoEgjoyi7I9Jdjv44uGHKN","CLP99","Contact 2 - First Name",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","AOIU+vxig0wCXtaMPdKTeG","CLP100","Contact 2 - Last Name",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","FuGEdwx5LA7N7cDYoxnZaM","CLP101","Contact 2 - Designation",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","CVLTRainlkzKEmcyAdCb2F","CLP102","Contact 2 - Position",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Ch1T0s1z745NLb1NRsjaSC","CLP103","Contact 2 - Bus Phone #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","CqY5XlVLzMxMFCE4W+0DKJ","CLP104","Contact 2 - Bus Fax #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Jd7OuC13qA1GM8rRtfvwCC","CLP105","Contact 2 - Email Address",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","KYZCLZkp1c1BsyFOpiDS2O","CLP106","Phone #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","AUOPIIgJE8yKpNjWnOheGL","CLP107","Fax #",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Er+5wqGuWE6FvQrHm7ovGL","CLP125","Engagement Type",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","JNtbFd3xvY7DY-FNapTSyE","CLP145","Client #","ABC"
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","C6c1N4kbSgwMC3FztDX1SL","CLP149","Country",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","Jx39ueIjQ85GLkmwW+DsSN","CLP151","13 Periods",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","OiV7iqpL+gyKTxjBaVHP2B","CLP152","Monthly",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","ISj1lqToXszHx1xhO0j7yP","CLP153","Bi-Monthly",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","EymPjp9AUU8HxZecEPALyL","CLP154","Quarterly",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","FpLTQoriD45BhV8AtH1O+M","CLP155","Thirdly",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","NIXHmThFCc-I3-PCt4c5GA","CLP156","Semi-Annual",""
"2019","11","ABC_BEE_Company","11694b23-0caa-4754-b348-29615c116874","ABC Company.ac","2020-07-30","PfNdxu8h8owDVIHa2W4Z+J","CLP157","Yearly","X"
